registromit;numerolatidos;vp;fp;fn;sensibilidad;predictividad;deteccionfallida;deteccionfallidaporcentaje
100m;2273;2273;0;0;100;100;0;0
101m;1863;1862;6;1;99.94632313;99.67880086;7;0.375738057
102m;2187;2053;134;134;93.87288523;93.87288523;268;12.25422954
103m;2084;2083;0;1;99.95201536;100;1;0.047984645
104m;2229;2186;47;43;98.0708838;97.89520824;90;4.037685061
105m;2572;2558;53;14;99.45567652;97.97012639;67;2.604976672
106m;2027;2023;1;4;99.80266404;99.95059289;5;0.246669956
107m;2137;2111;6;26;98.78334113;99.71658007;32;1.497426299
108m;1763;1743;323;20;98.86557005;84.36592449;343;19.45547362
109m;2532;2526;1;6;99.76303318;99.96042738;7;0.276461295
111m;2124;2108;3;16;99.24670433;99.85788726;19;0.894538606
112m;2539;2539;0;0;100;100;0;0
113m;1795;1795;0;0;100;100;0;0
114m;1879;1877;1;2;99.8935604;99.94675186;3;0.159659393
115m;1953;1953;0;0;100;100;0;0
116m;2412;2388;4;24;99.00497512;99.83277592;28;1.160862355
117m;1535;1535;0;0;100;100;0;0
118m;2278;2278;1;0;100;99.95612111;1;0.043898156
119m;1987;1987;1;0;100;99.94969819;1;0.050327126
121m;1863;1861;0;2;99.89264627;100;2;0.107353731
122m;2476;2476;0;0;100;100;0;0
123m;1518;1515;0;3;99.80237154;100;3;0.197628458
124m;1619;1606;2;13;99.19703521;99.87562189;15;0.926497838
200m;2601;2595;7;6;99.76931949;99.73097617;13;0.499807766
201m;1963;1895;0;68;96.53591442;100;68;3.464085583
202m;2136;2126;0;10;99.53183521;100;10;0.468164794
203m;2976;2871;47;105;96.47177419;98.38930775;152;5.107526882
205m;2656;2651;2;5;99.81174699;99.92461364;7;0.263554217
207m;2332;1970;205;362;84.47684391;90.57471264;567;24.31389365
208m;2953;2907;6;46;98.44226211;99.79402678;52;1.760921097
209m;3005;3005;0;0;100;100;0;0
210m;2649;2591;23;58;97.81049453;99.12012242;81;3.057757644
212m;2748;2748;0;0;100;100;0;0
213m;3251;3218;31;33;98.98492771;99.04586026;64;1.968625038
214m;2262;2254;5;8;99.64633068;99.77866313;13;0.574712644
215m;3363;3359;0;4;99.88105858;100;4;0.118941421
217m;2208;2204;2;4;99.81884058;99.90933817;6;0.27173913
219m;2154;2154;0;0;100;100;0;0
220m;2048;2048;0;0;100;100;0;0
221m;2427;2423;0;4;99.83518747;100;4;0.164812526
222m;2483;2458;25;25;98.99315344;98.99315344;50;2.013693113
223m;2605;2593;0;12;99.53934741;100;12;0.460652591
228m;2053;2047;12;6;99.70774476;99.41719281;18;0.876765709
230m;2256;2256;0;0;100;100;0;0
231m;1571;1571;0;0;100;100;0;0
232m;1780;1780;2;0;100;99.88776655;2;0.112359551
233m;3079;3076;0;3;99.90256577;100;3;0.097434232
234m;2753;2750;0;3;99.89102797;100;3;0.108972031
