registromit;numerolatidos; vp; fp; fn; sensibilidad; predictividad;deteccionfallida;deteccionfallidaporcentaje
100m;2257;2255;18;2;99.911387;99.208095;20;0.886132034
101m;1865;1849;12;16;99.142091;99.355185;28;1.501340483
103m;2084;2051;21;33;98.416507;98.986486;54;2.591170825
106m;1507;1467;541;40;97.34572;73.057769;581;38.55341739
117m;1534;1532;1;2;99.869622;99.934768;3;0.195567145
119m;1620;1616;449;4;99.753086;78.256659;453;27.96296296
122m;2475;2475;1;0;100;99.959612;1;0.04040404
207m;1415;842;1099;573;59.5053;43.379701;1672;118.1625442
214m;2001;1945;213;56;97.201399;90.12975;269;13.44327836
222m;1257;1136;1220;121;90.373906;48.217317;1341;106.6825776
223m;2099;2062;526;37;98.237256;79.675425;563;26.82229633
231m;1994;1567;3;427;78.585757;99.808917;430;21.56469408
12 registros;22108;20797;4104;1311;94.0700199;83.51873419;5415;24.49339606
